date,day,model,fly_score_0_5,star_hours,peak_stars,mean_stars,soarable_hours_>=1,good_hours_>=2,great_hours_>=3,peak_start,peak_end
2026-09-19,Sat,UK4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,07:30,21:00
2026-09-20,Sun,UK4+1,0.1,0.3,2.3,0.6,4.0,1.5,0.0,14:00,14:30
2026-09-21,Mon,UK4+2,0.0,0.0,0.7,0.2,0.0,0.0,0.0,13:30,14:00
2026-09-22,Tue,UK12+3,0.4,1.6,3.0,1.07,5.5,2.5,0.5,15:30,15:30
2026-09-23,Wed,UK12+4,0.1,0.3,2.4,0.64,4.0,1.5,0.0,15:30,15:30
2026-09-24,Thu,UK12+5,1.0,3.6,3.6,1.13,4.0,3.5,2.5,15:00,15:00
2026-09-25,Fri,UK12+6,0.0,0.0,1.3,0.57,4.0,0.0,0.0,13:30,15:30
